commanded position, signed delta, theoretical position, actual position, error
-2.43729, -0.42, -2.44,-2.2876,-0.14969
1.69814, -4.14, 1.7,1.5476,-0.15054
5.47715, 3.78, 5.48,5.48,0.00285
-1.10541, -6.59, -1.11,-0.9576,-0.14781
7.69987, -8.81, 7.7,7.5476,-0.15227
3.61209, -4.09, 3.61,3.7624,0.15031
-9.93796, 13.55, -9.94,-9.94,0.00204
-4.55513, -5.38, -4.56,-4.7124,0.15727
-1.05194, 3.51, -1.05,-1.05,-0.00194
-0.95842, 0.09, -0.96,-0.96,0.00158
-9.16423, -8.2, -9.16,-9.0076,-0.15663
-7.18537, -1.97, -7.19,-7.3424,0.15703
-2.28156, 4.91, -2.28,-2.28,-0.00156
-2.43208, -0.15, -2.43,-2.2776,-0.15448
-7.12834, 4.7, -7.13,-7.13,0.00166
-0.41876, -6.71, -0.42,-0.5724,0.15364
-4.26362, -3.84, -4.26,-4.1076,-0.15602
4.44831, -8.71, 4.45,4.2976,-0.15071
5.1358, 0.69, 5.14,5.14,0.0042
8.41883, 3.28, 8.42,8.42,0.00117
0.19762, -8.22, 0.2,0.3524,0.15478
1.95827, -1.76, 1.96,1.8076,-0.15067
-4.03494, -5.99, -4.03,-3.8776,-0.15734
-5.3637, 1.33, -5.36,-5.36,-0.0037
-3.26193, -2.1, -3.26,-3.4124,0.15047
-1.53945, 1.72, -1.54,-1.54,0.00055
2.16139, 3.7, 2.16,2.16,-0.00139
8.1318, 5.97, 8.13,8.13,-0.0018
1.65489, -6.48, 1.65,1.8024,0.14751
4.86075, -3.21, 4.86,4.7076,-0.15315
-0.88403, -5.74, -0.88,-0.7276,-0.15643
-1.74094, 0.86, -1.74,-1.74,-0.00094
8.077, -9.82, 8.08,7.9276,-0.1494
1.29349, -6.79, 1.29,1.4424,0.14891
1.9756, -0.69, 1.98,1.8276,-0.148
3.37698, 1.4, 3.38,3.38,0.00302
1.91482, -1.47, 1.91,2.0624,0.14758
-9.96964, 11.88, -9.97,-9.97,0.00036
-0.13617, -9.83, -0.14,-0.2924,0.15623
7.34387, 7.48, 7.34,7.34,-0.00387
-7.11521, -14.46, -7.12,-6.9676,-0.14761
-6.79484, -0.33, -6.79,-6.9424,0.14756
